service_id, monday, tuesday, wednesday, thursday, friday, saturday, sunday, start_date, end_date
A1, 1, 1, 1, 1, 1, 0, 0, 20180101, 20190217
A2, 0, 0, 0, 0, 0, 1, 0, 20180101, 20190217
A3, 0, 0, 0, 0, 0, 0, 1, 20180101, 20190217
A4, 0, 0, 0, 0, 0, 1, 1, 20180101, 20190217
F1, 1, 1, 1, 1, 1, 0, 0, 20190218, 20190224
F2, 0, 0, 0, 0, 0, 1, 0, 20190218, 20190224
F3, 0, 0, 0, 0, 0, 0, 1, 20190218, 20190224
F4, 0, 0, 0, 0, 0, 1, 1, 20190218, 20190224
G1, 1, 1, 1, 1, 1, 0, 0, 20190225, 20190303
G2, 0, 0, 0, 0, 0, 1, 0, 20190225, 20190303
G3, 0, 0, 0, 0, 0, 0, 1, 20190225, 20190303
G4, 0, 0, 0, 0, 0, 1, 1, 20190225, 20190303
H1, 1, 1, 1, 1, 1, 0, 0, 20190304, 20190310
H2, 0, 0, 0, 0, 0, 1, 0, 20190304, 20190310
H3, 0, 0, 0, 0, 0, 0, 1, 20190304, 20190310
H4, 0, 0, 0, 0, 0, 1, 1, 20190304, 20190310
A1A, 1, 1, 1, 1, 1, 0, 0, 20190311, 20191231
A2A, 0, 0, 0, 0, 0, 1, 0, 20190311, 20191231
A3A, 0, 0, 0, 0, 0, 0, 1, 20190311, 20191231
A4A, 0, 0, 0, 0, 0, 1, 1, 20190311, 20191231
