fare_id,price,currency_type,payment_method,transfers
z3_z1,6.00,USD,1,
z4_z1,6.50,USD,1,
z5_z1,7.00,USD,1,
z6_z1,8.50,USD,1,
z7_z1,9.50,USD,1,
z8_z1,9.75,USD,1,
z10_z1,12.25,USD,1,
z11_z1,13.50,USD,1,
z3_z2,5.25,USD,1,
z4_z2,6.25,USD,1,
z5_z2,6.75,USD,1,
z6_z2,7.50,USD,1,
z7_z2,8.75,USD,1,
z8_z2,9.50,USD,1,
z10_z2,11.50,USD,1,
z11_z2,12.50,USD,1,
z4_z3,4.00,USD,1,
z5_z3,5.50,USD,1,
z6_z3,6.75,USD,1,
z7_z3,7.50,USD,1,
z8_z3,8.50,USD,1,
z10_z3,10.25,USD,1,
z11_z3,11.50,USD,1,
z4_z4,3.75,USD,1,
z5_z4,4.25,USD,1,
z6_z4,6.00,USD,1,
z7_z4,7.00,USD,1,
z8_z4,7.50,USD,1,
z10_z4,9.75,USD,1,
z11_z4,11.00,USD,1,
z5_z5,3.75,USD,1,
z6_z5,5.75,USD,1,
z7_z5,6.75,USD,1,
z8_z5,7.00,USD,1,
z10_z5,9.50,USD,1,
z11_z5,10.25,USD,1,
z6_z6,3.75,USD,1,
z7_z6,5.75,USD,1,
z8_z6,6.00,USD,1,
z10_z6,8.50,USD,1,
z11_z6,9.50,USD,1,
z8_z7,4.25,USD,1,
z10_z7,7.00,USD,1,
z11_z7,8.50,USD,1,
z8_z8,3.50,USD,1,
z10_z8,6.00,USD,1,
z11_z8,7.00,USD,1,
z11_z10,5.75,USD,1,
