fare_id,route_id,origin_id,destination_id,contains_id
z3_z1,,1,3,
z3_z1,,3,1,
z4_z1,,1,4,
z4_z1,,4,1,
z5_z1,,1,5,
z5_z1,,5,1,
z6_z1,,1,6,
z6_z1,,6,1,
z7_z1,,1,7,
z7_z1,,7,1,
z8_z1,,1,8,
z8_z1,,8,1,
z10_z1,,1,10,
z10_z1,,10,1,
z11_z1,,1,11,
z11_z1,,11,1,
z3_z2,,2,3,
z3_z2,,3,2,
z4_z2,,2,4,
z4_z2,,4,2,
z5_z2,,2,5,
z5_z2,,5,2,
z6_z2,,2,6,
z6_z2,,6,2,
z7_z2,,2,7,
z7_z2,,7,2,
z8_z2,,2,8,
z8_z2,,8,2,
z10_z2,,2,10,
z10_z2,,10,2,
z11_z2,,2,11,
z11_z2,,11,2,
z4_z3,,3,4,
z4_z3,,4,3,
z5_z3,,3,5,
z5_z3,,5,3,
z6_z3,,3,6,
z6_z3,,6,3,
z7_z3,,3,7,
z7_z3,,7,3,
z8_z3,,3,8,
z8_z3,,8,3,
z10_z3,,3,10,
z10_z3,,10,3,
z11_z3,,3,11,
z11_z3,,11,3,
z4_z4,,4,4,
z5_z4,,4,5,
z5_z4,,5,4,
z6_z4,,4,6,
z6_z4,,6,4,
z7_z4,,4,7,
z7_z4,,7,4,
z8_z4,,4,8,
z8_z4,,8,4,
z10_z4,,4,10,
z10_z4,,10,4,
z11_z4,,4,11,
z11_z4,,11,4,
z5_z5,,5,5,
z6_z5,,5,6,
z6_z5,,6,5,
z7_z5,,5,7,
z7_z5,,7,5,
z8_z5,,5,8,
z8_z5,,8,5,
z10_z5,,5,10,
z10_z5,,10,5,
z11_z5,,5,11,
z11_z5,,11,5,
z6_z6,,6,6,
z7_z6,,6,7,
z7_z6,,7,6,
z8_z6,,6,8,
z8_z6,,8,6,
z10_z6,,6,10,
z10_z6,,10,6,
z11_z6,,6,11,
z11_z6,,11,6,
z8_z7,,7,8,
z8_z7,,8,7,
z10_z7,,7,10,
z10_z7,,10,7,
z11_z7,,7,11,
z11_z7,,11,7,
z8_z8,,8,8,
z10_z8,,8,10,
z10_z8,,10,8,
z11_z8,,8,11,
z11_z8,,11,8,
z11_z10,,10,11,
z11_z10,,11,10,
