trip_id,arrival_time,departure_time,stop_id,stop_sequence
102,4:03:00,4:03:00,s17,1
102,4:09:00,4:09:00,s16,2
102,4:23:00,4:23:00,s14,3
102,4:32:00,4:32:00,s13,4
102,4:38:00,4:38:00,s12,5
102,4:44:00,4:44:00,s11,6
102,4:50:00,4:50:00,s10,7
102,4:57:00,4:57:00,s9,8
102,5:02:00,5:02:00,s8,9
102,5:08:00,5:08:00,s7,10
102,5:33:00,5:33:00,s5,11
102,5:43:00,5:43:00,s3,12
102,5:46:00,5:46:00,s2,13
102,5:48:00,5:48:00,s1,14
104,4:47:00,4:47:00,s17,1
104,4:53:00,4:53:00,s16,2
104,5:03:00,5:03:00,s15,3
104,5:08:00,5:08:00,s14,4
104,5:18:00,5:18:00,s13,5
104,5:25:00,5:25:00,s12,6
104,5:32:00,5:32:00,s11,7
104,5:37:00,5:37:00,s10,8
104,5:45:00,5:45:00,s9,9
104,5:50:00,5:50:00,s8,10
104,5:56:00,5:56:00,s7,11
104,6:15:00,6:15:00,s5,12
104,6:25:00,6:25:00,s3,13
104,6:28:00,6:28:00,s2,14
104,6:31:00,6:31:00,s1,15
6,5:00:00,5:00:00,s19,1
6,5:53:00,5:53:00,s14,2
6,6:20:00,6:20:00,s9,3
6,6:44:00,6:44:00,s5,4
6,6:53:00,6:53:00,s2,5
6,6:55:00,6:55:00,s1,6
106,5:45:00,5:45:00,s17,1
106,6:32:00,6:32:00,s8,2
106,6:39:00,6:39:00,s7,3
106,6:59:00,6:59:00,s5,4
106,7:08:00,7:08:00,s3,5
106,7:11:00,7:11:00,s2,6
106,7:13:00,7:13:00,s1,7
108,5:52:00,5:52:00,s17,1
108,6:10:00,6:10:00,s14,2
108,6:19:00,6:19:00,s13,3
108,6:26:00,6:26:00,s12,4
108,6:33:00,6:33:00,s11,5
108,6:38:00,6:38:00,s10,6
108,6:46:00,6:46:00,s9,7
108,6:51:00,6:51:00,s8,8
108,6:58:00,6:58:00,s7,9
108,7:19:00,7:19:00,s5,10
108,7:29:00,7:29:00,s3,11
108,7:32:00,7:32:00,s2,12
108,7:35:00,7:35:00,s1,13
110,6:05:00,6:05:00,s17,1
110,6:11:00,6:11:00,s16,2
110,6:21:00,6:21:00,s15,3
110,6:27:00,6:27:00,s14,4
110,6:36:00,6:36:00,s13,5
110,6:43:00,6:43:00,s12,6
110,6:50:00,6:50:00,s11,7
110,6:55:00,6:55:00,s10,8
110,7:03:00,7:03:00,s9,9
110,7:08:00,7:08:00,s8,10
110,7:14:00,7:14:00,s7,11
110,7:45:00,7:45:00,s2,12
110,7:51:00,7:51:00,s1,13
112,6:20:00,6:20:00,s17,1
112,6:26:00,6:26:00,s16,2
112,6:41:00,6:41:00,s14,3
112,6:50:00,6:50:00,s13,4
112,6:56:00,6:56:00,s12,5
112,7:04:00,7:04:00,s11,6
112,7:15:00,7:15:00,s9,7
112,7:20:00,7:20:00,s8,8
112,7:27:00,7:27:00,s7,9
112,7:47:00,7:47:00,s6,10
112,7:50:00,7:50:00,s5,11
112,7:59:00,7:59:00,s3,12
112,8:02:00,8:02:00,s2,13
112,8:08:00,8:08:00,s1,14
114,6:46:00,6:46:00,s17,1
114,6:52:00,6:52:00,s16,2
114,7:02:00,7:02:00,s15,3
114,7:08:00,7:08:00,s14,4
114,7:18:00,7:18:00,s13,5
114,7:24:00,7:24:00,s12,6
114,7:31:00,7:31:00,s11,7
114,7:42:00,7:42:00,s9,8
114,7:47:00,7:47:00,s8,9
114,7:54:00,7:54:00,s7,10
114,8:16:00,8:16:00,s5,11
114,8:25:00,8:25:00,s3,12
114,8:28:00,8:28:00,s2,13
114,8:31:00,8:31:00,s1,14
214,7:54:00,7:54:00,s11,1
214,7:59:00,7:59:00,s10,2
214,8:07:00,8:07:00,s9,3
214,8:12:00,8:12:00,s8,4
214,8:18:00,8:18:00,s7,5
214,8:39:00,8:39:00,s5,6
214,8:47:00,8:47:00,s3,7
214,8:50:00,8:50:00,s2,8
214,8:52:00,8:52:00,s1,9
14,7:48:00,7:48:00,s19,1
14,8:12:00,8:12:00,s18,2
14,8:37:00,8:37:00,s17,3
14,8:43:00,8:43:00,s16,4
14,8:53:00,8:53:00,s15,5
14,9:00:00,9:00:00,s14,6
14,9:08:00,9:08:00,s13,7
14,9:14:00,9:14:00,s12,8
14,9:22:00,9:22:00,s11,9
14,9:27:00,9:27:00,s10,10
14,9:35:00,9:35:00,s9,11
14,9:40:00,9:40:00,s8,12
14,9:47:00,9:47:00,s7,13
14,10:10:00,10:10:00,s5,14
14,10:19:00,10:19:00,s3,15
14,10:22:00,10:22:00,s2,16
14,10:28:00,10:28:00,s1,17
216,10:12:00,10:12:00,s11,1
